id,gender,vetek,age,Total_income,Total_km,month
117,m,17.1,53.8,7001588,9626,january
118,m,9.3,34.1,87347,9565,january
119,m,15.4,60.0,121763,10599,january
120,f,7.2,43.8,107237,9851,january
121,m,18.4,53.0,158392,8338,january
122,m,5.7,36.3,3032674,12523,january
123,m,11.5,59.6,130208,8428,january
124,m,9.5,29.5,127307,11717,january
125,m,9.2,31.5,5773687,10443,january
126,m,271.0,47.5,69599,7474,january
127,m,11.8,49.9,78416,8581,january
128,m,5.9,46.3,3057275,11497,january
129,m,11.3,29.9,83766,7276,january
130,m,15.0,53.8,90000,9212,january
131,m,16.0,29.4,104531,10128,january
132,m,17.3,54.9,2985862,8542,january
133,m,13.8,37.7,2530376,7194,january
134,m,6.2,59.2,60642,7878,january
135,unknown,10.5,120.3,805119,6385,january
136,m,1.0,52.9,10480792,9386,january
137,m,17.6,52.6,3042367,9402,january
138,m,5.5,28.9,3829241,8210,january
139,m,8.7,50.8,141336,8944,january
140,m,14.0,120.3,95638,8872,january
141,m,8.8,39.1,716305,9508,january
142,unknown,14.2,31.7,110569,10708,january
143,m,7.3,120.3,77913,8716,january
144,m,7.4,37.8,59000,8669,january
145,m,7.5,44.1,81371,7890,january
146,m,5.6,32.4,9585838,9545,january
147,m,14.7,48.0,89958,7789,january
148,m,9.8,58.8,122014,15309,january
149,m,5.5,46.9,2448674,8991,january
150,m,10.2,120.3,117856,9043,january
151,m,18.7,42.8,1036081,7470,january
152,m,3.3,29.8,124898,8231,january
153,m,18.2,27.1,2512422,8627,january
154,m,6.9,120.3,3195362,8311,january
155,m,141.0,51.7,5350250,7161,january
156,unknown,272.0,59.1,4389868,11401,january
157,m,16.2,51.2,3387164,10863,january
158,m,3.0,120.3,5592391,8485,january
159,m,235.0,42.5,1078226,8341,january
160,m,18.1,29.0,651637,7996,january
161,m,2.9,45.9,97756,8074,january
162,m,12.1,29.8,855663,8650,january
163,m,9.1,52.5,141632,6934,january
164,m,10.5,34.2,92495,7218,january
165,f,17.6,44.7,66026,8565,january
166,m,1.3,120.3,300865,11474,january
167,m,6.7,31.3,3012570,7360,january
168,m,11.2,55.0,2934070,9254,january
169,m,18.0,54.4,333248,8474,january
170,m,16.2,29.1,6505932,10296,january
171,m,155.0,43.6,3607540,8305,january
172,m,10.6,50.0,92960,8416,january
173,m,9.3,40.5,88054,9144,january
174,m,331.0,40.4,4285863,6633,january
175,m,7.2,33.0,114045,7601,january
176,m,327.0,30.1,181951,9289,january
177,m,1.9,35.3,1200446,10769,january
178,m,7.8,43.4,4119416,10093,january
179,unknown,15.2,47.1,2332943,8692,january
180,m,10.8,42.5,3192165,7473,january
181,m,10.0,31.2,1511650,8585,january
182,m,14.4,35.0,135504,8264,january
183,m,14.6,36.2,89726,8978,january
184,m,14.7,40.6,2270308,7912,january
185,m,14.5,29.8,183892,11839,january
186,m,227.0,60.1,4325068,11911,january
187,m,17.0,43.1,8038273,7550,january
188,m,18.5,28.0,72797,8251,january
189,m,5.9,36.0,2803737,9756,january
190,m,14.1,51.9,99817,8486,january
191,m,37.0,44.7,129890,6886,january
192,m,5.7,39.9,105954,8916,january
193,m,16.4,47.1,66958,8663,january
194,m,18.7,60.2,2740479,11346,january
195,unknown,8.8,48.4,2047610,8260,january
196,m,4.3,40.5,886140,12166,january
197,m,12.9,38.9,110179,11829,january
198,m,16.6,35.4,118428,7451,january
199,m,13.1,43.6,2607485,7308,january
200,m,242.0,33.7,3973644,6131,january
201,m,6.1,51.7,5003500,8356,january
202,m,4.0,51.3,94902,7489,january
203,m,16.3,53.3,98176,8631,january
204,m,9.8,49.0,92877,8458,january
205,m,9.9,50.5,2541789,9665,january
206,m,5.3,58.5,105255,8048,january
207,m,3.5,42.2,5847206,9960,january
208,m,3.7,51.3,128350,8721,january
209,m,11.3,41.8,6460311,9248,january
210,m,1.9,31.3,4544192,7085,january
211,m,8.5,31.0,3073239,11128,january
212,m,1.6,40.7,152207,8239,january
213,m,15.2,34.8,111197,8298,january
214,m,5.9,120.3,62286,6952,january
215,m,7.2,47.1,119316,9112,january
216,m,14.5,30.7,125968,10001,january
217,m,14.8,58.3,98742,9196,january
218,m,12.0,54.8,1170931,10459,january
219,m,17.3,33.9,4188604,7774,january
220,m,7.3,27.2,2778096,9901,january
221,m,3.7,58.3,2904776,8389,january
222,m,11.6,33.5,4142895,7371,january
223,unknown,5.2,47.5,1070466,11146,january
224,m,9.8,37.0,72567,8131,january
225,m,226.0,120.3,3844797,9318,january
226,m,8.2,51.5,2678079,8795,january
227,m,16.2,120.3,2773172,12566,january
228,m,9.5,42.7,86177,10090,january
229,m,7.9,49.4,137656,9657,january
230,m,5.1,32.5,68915,7721,january
231,unknown,17.8,36.8,84678,6866,january
232,m,13.6,38.5,104653,8260,january
233,m,12.8,32.4,2177654,9488,january
234,m,6.2,36.5,105941,9397,january
235,m,9.0,31.7,4209202,8161,january
236,m,6.7,36.3,123217,8091,january
237,m,10.7,33.5,867380,9243,january
238,m,3.6,56.2,75783,8337,january
239,m,360.0,54.8,1019128,9687,january
240,m,5.8,120.3,106168,13209,january
241,m,11.2,30.8,1660164,8476,january
242,f,14.5,41.1,3753432,8491,january
243,m,16.7,32.4,5390798,9424,january
244,m,3.1,34.8,12489345,15111,january
245,m,13.2,55.0,115293,14337,january
246,m,15.1,51.5,93682,8920,january
247,m,2.0,47.8,135071,8918,january
248,m,14.8,31.1,3190106,10267,january
249,m,8.2,55.1,3105797,8604,january
250,m,48.0,26.3,87380,9355,january
251,m,11.9,37.4,2084111,9434,january
252,m,14.0,34.9,5311764,6994,january
253,f,18.0,47.0,81623,7245,january
254,m,18.2,51.3,66892,8599,january
255,m,15.2,45.3,161620,8864,january
256,m,8.8,120.3,148929,10980,january
257,m,4.5,30.4,104452,9443,january
258,m,6.3,37.8,3606046,9306,january
259,m,2.7,55.2,136502,8454,january
260,m,1.1,29.2,115764,9262,january
261,m,18.5,30.8,5758832,9878,january
262,m,14.7,58.9,6383246,10107,january
263,m,12.2,46.9,848644,8748,january
264,m,12.7,53.7,152897,11323,january
265,m,3.8,34.0,87234,9149,january
266,m,1.4,30.3,80569,9733,january
267,m,4.8,47.1,59568,7538,january
268,m,11.2,35.5,106922,8575,january
269,m,8.1,33.8,106995,8506,january
270,m,10.1,35.0,2579657,9464,january
271,m,141.0,59.2,106717,8331,january
272,m,10.3,35.6,77674,8560,january
273,m,13.2,37.4,87669,8859,january
274,m,8.6,58.0,107340,8682,january
275,unknown,14.8,28.4,1312402,12499,january
276,m,18.5,39.4,2630113,7866,january
277,m,12.5,27.5,4475885,8078,january
278,unknown,10.8,41.4,105328,8461,january
279,m,3.9,39.2,1469388,7332,january
280,unknown,2.4,54.4,3538438,8440,january
281,m,16.5,52.5,104327,8662,january
282,m,15.3,53.4,197860,12032,january
283,m,9.6,52.2,67791,7457,january
284,m,14.4,34.8,118067,10676,january
285,m,353.0,41.7,3552115,7819,january
286,m,16.9,58.5,112971,8557,january
287,m,15.2,34.4,1834806,8141,january
288,unknown,18.3,41.5,5585915,8802,january
289,m,169.0,33.9,3018140,10510,january
290,m,4.3,32.0,162872,7822,january
291,m,5.4,27.4,115887,10636,january
292,m,13.2,27.0,100330,10091,january
293,m,10.8,38.7,1744948,8397,january
294,m,4.9,53.6,2978601,6777,january
295,m,8.4,40.8,97975,7691,january
296,m,11.1,36.5,73062,7666,january
297,m,1.0,48.0,1118262,8403,january
298,m,11.8,33.5,86361,9158,january
299,m,2.0,44.4,2187010,9641,january
300,m,9.5,29.5,4525558,12854,january
301,unknown,2.0,27.4,2033760,10443,january
302,m,78.0,41.6,109539,8410,january
303,m,218.0,31.3,87854,7862,january
304,m,17.7,54.8,64955,7937,january
305,m,4.2,57.4,143447,7852,january
306,m,16.2,51.3,4416597,7559,january
307,m,265.0,59.3,4015133,10769,january
308,m,324.0,42.4,3088038,8177,january
309,m,14.6,32.6,108851,6983,january
310,m,309.0,36.5,1590503,8006,january
311,unknown,9.4,26.4,77079,7340,january
312,m,13.4,55.5,82319,9530,january
313,m,14.1,48.1,86898,9246,january
314,m,4.0,43.4,2939158,8732,january
315,m,8.7,55.4,1577613,6166,january
316,m,79.0,29.1,3972603,8434,january
317,m,2.7,27.6,102933,8368,january
318,m,9.5,54.9,3704308,9122,january
319,m,9.7,36.5,177931,11521,january
320,m,14.4,37.4,63324,8158,january
321,m,10.1,120.3,68387,7692,january
322,m,13.4,39.5,1311444,10332,january
323,f,8.9,42.8,3489696,8714,january
324,m,9.8,48.9,129866,8469,january
325,m,7.6,53.8,345851,11809,january
326,m,1.6,27.1,1749135,9713,january
327,m,309.0,46.1,111051,9137,january
328,m,11.4,34.0,6071282,9367,january
329,m,4.5,37.8,89663,8898,january
330,m,2.2,120.3,78547,7728,january
331,m,9.1,30.4,112597,8793,january
332,f,18.7,49.3,191647,7893,january
333,m,8.4,44.4,124857,9337,january
334,m,7.2,50.6,111008,8867,january
335,m,278.0,41.3,114101,10186,january
336,m,15.5,47.7,85556,8046,january
337,m,9.4,30.3,112900,9848,january
338,m,4.3,36.9,154382,13063,january
339,m,18.1,35.5,5540924,11680,january
340,unknown,6.5,38.0,3022208,9864,january
341,f,16.9,57.4,2407494,9193,january
342,m,4.9,37.8,87136,9600,january
343,m,16.4,57.3,1003668,9781,january
344,m,11.8,45.9,93593,11674,january
345,m,12.9,34.5,5970671,9838,january
346,m,16.0,44.2,138894,10352,january
347,m,15.2,25.77726503504606,120556,9368,january
348,m,1.0,55.2,3621417,7586,january
349,m,16.7,57.4,9297138,9602,january
350,m,18.5,46.9,1013220,8741,january
351,m,7.8,48.1,159743,9244,january
352,m,9.3,52.4,90735,9872,january
353,m,5.3,59.3,2096628,10034,january
354,m,147.0,60.0,82446,8068,january
355,m,3.0,44.5,90559,11494,january
356,m,12.6,45.6,2548535,10832,january
357,m,9.0,37.0,3119077,6822,january
358,m,18.3,30.2,5942852,8060,january
359,m,7.9,42.1,113617,7379,january
360,m,12.0,43.8,99498,7578,january
361,unknown,15.4,45.4,76613,8383,january
362,m,3.7,33.3,85079,7980,january
363,m,1.3,39.4,124350,12005,january
364,m,9.2,35.3,95950,9876,january
365,m,5.3,31.4,137120,7517,january
366,m,7.5,37.3,244432,10577,january
367,m,5.2,53.2,395240,8695,january
368,m,14.7,48.1,81958,8172,january
369,m,8.9,30.6,115459,8953,january
370,m,1.9,40.6,2526934,9030,january
371,m,5.6,46.6,71749,9488,january
372,m,14.3,27.5,7646899,9105,january
373,m,5.9,55.3,120232,8090,january
374,unknown,13.9,34.0,1284970,8141,january
375,m,18.2,37.6,2794247,7282,january
376,m,6.4,32.2,464285,7340,january
377,f,4.0,52.1,56342,7726,january
378,unknown,3.5,31.0,88649,7301,january
379,m,12.4,59.4,110656,8161,january
380,m,1.5,55.5,70672,7925,january
381,m,34.0,38.4,88436,12288,january
382,m,10.9,28.7,104398,7558,january
383,m,15.6,31.8,1140666,8907,january
384,m,2.5,37.8,172259,11643,january
385,m,9.4,38.9,4921513,10324,january
386,m,12.8,31.8,102434,12223,january
387,m,16.0,40.5,2446828,7009,january
388,m,1.6,2.713396319478533,815438,8220,january
389,m,1.7,52.8,136080,17824,january
390,m,12.7,48.6,1903622,8192,january
391,m,2.2,42.2,128569,8703,january
392,unknown,4.8,27.7,1279225,7442,january
393,m,7.3,28.1,2441264,8954,january
394,m,5.1,50.5,1067389,7472,january
395,m,16.9,53.5,6237291,11063,january
396,m,12.5,27.4,2222063,9265,january
397,m,12.9,21.87675782579567,88818,9090,january
398,m,4.8,46.3,7828103,9452,january
399,m,312.0,48.1,4455092,8508,january
400,unknown,10.9,52.3,71420,8958,january
401,m,13.2,120.3,6936124,8386,january
402,m,15.1,30.0,86173,7947,january
403,m,7.8,40.1,172018,8220,january
404,m,14.7,50.0,137683,12682,january
405,m,54.0,26.5,101429,9400,january
406,unknown,1.4,31.1,100801,11742,january
407,m,2.4,40.9,6247693,8877,january
408,m,312.0,59.4,4983370,8889,january
409,m,14.6,39.3,130498,9663,january
410,m,17.4,33.1,89769,9696,january
411,m,2.5,53.0,114467,8130,january
412,m,4.6,53.6,1510840,8138,january
413,m,1.0,42.2,153183,11774,january
414,m,7.7,32.4,128207,11866,january
415,m,7.1,56.8,3321534,9579,january
416,m,16.2,45.2,3838987,10181,january
417,m,3.6,38.5,151770,8981,january
418,m,9.8,45.0,1554609,7064,january
419,m,18.2,120.3,146315,7396,january
420,m,5.9,51.1,131554,8567,january
421,m,11.2,45.6,96855,10396,january
422,m,11.6,44.5,4840849,8130,january
423,m,211.0,54.0,236937,9637,january
424,m,3.8,44.2,2278982,11656,january
425,m,17.9,120.3,2546802,8583,january
426,m,7.2,38.1,3767568,9477,january
427,m,3.4,42.4,2100313,10994,january
428,m,13.8,31.3,89869,7976,january
429,m,4.7,41.0,11590083,7392,january
430,m,11.6,120.3,100937,8050,january
431,m,3.0,37.0,3421081,12143,january
432,m,318.0,41.7,4032523,8312,january
433,m,8.6,31.8,135714,10356,january
434,m,7.7,31.2,752910,7611,january
435,f,17.1,54.8,92616,10365,january
436,unknown,12.0,32.1,89760,7022,january
437,m,9.8,29.3,100684,7184,january
438,m,7.0,31.7,3071988,16184,january
439,m,103.0,59.6,68205,7701,january
440,f,4.4,33.9,2373677,8747,january
441,m,2.3,45.3,116830,10550,january
442,m,13.5,56.1,133282,12224,january
443,m,1.5,31.0,2475567,9260,january
444,m,4.1,39.4,253726,10895,january
445,m,18.6,53.8,1352242,8063,january
446,m,45.0,43.5,3952293,10014,january
447,m,12.1,59.8,912927,12593,january
448,m,15.3,46.1,1522429,8525,january
449,m,18.7,32.8,60743,7904,january
450,m,13.3,52.1,62933,7252,january
451,m,10.2,41.3,722503,7588,january
452,m,4.4,47.7,2495250,8905,january
453,f,5.4,54.8,1539002,6679,january
454,m,82.0,34.5,1411955,6731,january
455,m,3.9,120.3,99212,9863,january
456,m,5.9,50.2,66629,8137,january
457,m,10.5,57.8,102324,8494,january
458,m,64.0,34.0,1949359,8230,january
459,m,131.0,31.0,1036723,8894,january
460,f,118.0,27.3,3373449,11750,january
461,m,2.5,59.2,118287,10413,january
462,unknown,10.3,33.6,122491,9342,january
463,m,10.3,42.5,1803772,7337,january
464,m,6.4,52.8,1729959,8198,january
465,m,17.2,56.4,102740,9592,january
466,m,13.4,46.1,158165,12164,january
467,m,192.0,120.3,4125639,7908,january
468,m,3.3,46.7,79432,7698,january
469,m,10.3,58.4,6688487,9656,january
470,m,3.5,39.3,88266,7192,january
471,m,4.4,58.8,482276,8228,january
472,unknown,8.5,34.9,5949897,11351,january
473,m,14.6,53.5,94055,8396,january
474,m,13.1,50.7,5322528,8380,january
475,m,9.6,32.1,931345,7337,january
476,m,18.3,120.3,429050,9164,january
477,m,8.8,40.7,80941,11832,january
478,m,7.8,29.7,4780020,8798,january
479,m,1.0,48.9,1407739,7635,january
480,m,11.5,32.9,1279525,7504,january
481,f,17.1,45.5,134809,8293,january
482,m,13.1,59.6,766858,8964,january
483,m,12.5,41.9,135034,11994,january
484,m,4.1,30.6,1985840,16195,january
485,m,15.4,50.7,3885919,8439,january
486,m,5.1,50.8,6543831,8368,january
487,m,14.8,26.6,74283,11028,january
488,m,5.8,26.8,171222,8503,january
489,m,17.4,34.0,164868,8296,january
490,m,12.7,56.9,91707,10573,january
491,m,3.2,55.4,2564351,9883,january
492,m,11.8,41.6,8347128,9070,january
493,m,85.0,56.0,2175497,8656,january
494,m,7.9,43.1,469874,7890,january
495,m,5.5,46.9,4286831,7377,january
496,m,17.3,52.6,610128,12316,january
497,unknown,11.7,40.6,1285833,9440,january
498,m,15.3,43.5,124340,8397,january
499,m,1.0,26.7,2955706,9389,january
500,f,13.5,40.6,130002,8379,january
501,m,9.3,42.0,5045222,8734,january
502,m,7.9,55.8,92673,8528,january
503,m,18.0,120.3,110206,9282,january
504,m,1.8,34.3,909015,7798,january
505,m,2.5,28.0,3532385,10733,january
506,m,5.6,33.0,120294,9313,january
507,m,9.5,57.0,2361789,11479,january
508,m,8.3,48.4,4185714,6930,january
509,m,172.0,41.0,129276,8167,january
510,m,12.2,49.3,91125,8025,january
511,m,10.9,29.7,2701479,7854,january
512,unknown,15.9,44.4,109481,9060,january
513,m,14.3,36.5,2259628,9559,january
514,m,12.9,39.3,122189,8853,january
515,m,9.7,51.0,1880947,9818,january
516,m,18.0,60.2,454562,9173,january
517,m,16.4,41.2,6873914,9500,january
518,m,16.6,49.3,3341539,9229,january
519,unknown,1.7,37.0,195250,10317,january
520,m,8.8,49.0,4671260,7989,january
521,m,303.0,50.4,165045,8551,january
522,m,14.7,46.5,2848539,15022,january
523,m,1.2,26.4,7433519,7412,january
524,f,18.5,33.8,9024693,9074,january
525,m,9.1,33.5,98559,7996,january
526,m,18.8,56.6,4752620,10503,january
527,m,141.0,120.3,143067,9487,january
528,m,15.5,27.1,66529,8519,january
529,m,6.1,42.2,120389,12863,january
530,unknown,6.9,41.5,51395,7301,january
531,m,331.0,40.9,99809,8069,january
532,m,193.0,32.5,97212,8260,january
533,unknown,49.0,30.1,3553535,10273,january
534,m,16.5,57.3,1711186,11735,january
535,m,2.9,57.0,94695,9870,january
536,m,3.4,49.4,95520,7066,january
537,m,2.5,31.6,2060109,8045,january
538,unknown,13.5,38.4,5243718,12015,january
539,m,10.6,35.8,8831355,13825,january
540,m,6.5,35.9,2623642,8214,january
541,m,8.1,43.0,2241796,8206,january
542,m,7.8,29.7,4376881,11366,january
543,m,12.0,53.6,1057120,7482,january
544,m,13.0,33.3,167007,11210,january
545,m,3.8,36.7,2076544,8236,january
546,m,13.5,49.9,3423877,9233,january
547,m,7.5,12.719045247555622,1602450,7496,january
548,m,12.5,46.6,83981,9169,january
549,m,16.4,49.5,140688,8451,january
550,unknown,7.5,40.8,100694,7297,january
551,m,4.3,120.3,617173,11395,january
552,m,7.3,56.0,3305743,11191,january
553,m,1.8,29.6,4729049,11354,january
554,m,9.5,34.4,129809,8095,january
555,m,3.5,56.5,71114,7778,january
556,m,286.0,45.0,4472202,8846,january
557,m,16.5,55.7,2832253,8705,january
558,m,9.1,29.9,116957,11298,january
559,f,4.7,57.1,80160,7529,january
560,m,12.4,35.5,68837,7712,january
561,unknown,6.2,38.5,3543275,8234,january
562,m,10.0,37.4,2367811,11371,january
563,m,7.1,38.4,81011,8180,january
564,m,18.6,30.8,146682,11920,january
565,m,17.2,38.6,128702,6870,january
566,m,11.7,120.3,1841248,10096,january
567,m,15.0,43.4,2550163,9158,january
568,m,16.5,120.3,5119698,14113,january
569,m,13.3,34.1,106816,7968,january
570,m,16.8,41.6,88768,10110,january
571,m,13.8,47.5,1022539,7820,january
572,m,7.6,120.3,71742,6744,january
573,m,6.4,55.0,117620,8489,january
574,m,108.0,55.1,2442924,8344,january
575,m,10.9,27.2,50363,6839,january
576,m,4.1,58.4,4366800,7647,january
577,m,15.7,37.0,89789,11638,january
578,m,8.8,50.1,75205,8741,january
579,m,99.0,35.3,126594,11261,january
580,m,10.4,58.2,2001891,10020,january
581,m,18.5,30.2,105314,8890,january
582,m,4.4,41.0,148154,8804,january
583,m,8.2,33.9,4636441,8706,january
584,m,14.9,37.4,85460,9969,january
585,m,11.3,31.9,3307859,8629,january
586,m,7.8,26.5,9400169,12678,january
587,m,9.9,46.0,3715400,8063,january
588,f,14.8,41.8,23697204,10836,january
589,m,6.4,35.0,538268,8296,january
590,m,4.2,34.7,73660,8026,january
591,m,9.5,50.5,1427066,7584,january
592,m,12.7,46.9,4149676,9250,january
593,m,15.5,37.3,4002134,12045,january
594,f,12.7,38.9,92376,8519,january
595,m,7.1,39.5,1443180,7195,january
596,m,13.7,50.5,5206785,8468,january
597,m,13.1,54.4,94256,13931,january
598,m,9.4,45.6,183051,9953,january
599,m,18.4,120.3,1221494,8234,january
600,m,17.2,32.8,88445,8056,january
601,m,75.0,34.1,4567275,8454,january
602,m,17.8,31.7,7535961,9248,january
603,m,10.7,29.3,76741,9670,january
604,m,7.6,53.6,2776203,8418,january
605,f,5.9,57.9,110357,8879,january
606,m,15.1,45.8,83932,7971,january
607,m,13.1,28.5,143935,10728,january
608,m,13.4,58.1,2060611,9527,january
609,m,4.6,120.3,1819319,12498,january
610,m,8.9,59.1,91939,6775,january
611,m,148.0,56.8,76814,7967,january
612,m,10.3,51.1,5268289,9438,january
613,m,2.5,45.1,92178,7720,january
614,m,17.8,54.2,79569,7658,january
615,m,2.9,46.0,2383545,6925,january
616,m,8.8,55.8,120240,8176,january
617,m,17.4,32.4,106644,7796,january
618,m,9.0,57.9,72688,8362,january
619,m,4.2,49.5,1806992,7134,january
620,m,1.6,51.7,927501,7569,january
621,m,1.7,48.3,4078421,8334,january
622,m,7.6,47.5,123414,6833,january
623,unknown,14.4,120.3,2631617,9177,january
624,m,244.0,47.1,94580,7675,january
625,m,13.8,52.0,102020,9246,january
626,m,18.1,46.2,145965,9706,january
627,m,15.2,35.5,116885,6947,january
628,m,15.2,55.3,2988836,11157,january
629,m,15.7,40.8,1059415,8000,january
630,m,17.3,39.3,114662,8456,january
631,m,6.2,37.4,1999365,7548,january
632,m,14.1,29.7,2052583,7398,january
633,f,2.6,40.8,2542623,6887,january
634,m,4.5,41.1,68662,7367,january
635,m,14.8,50.1,57412,6732,january
636,f,7.2,58.1,2391264,8415,january
637,m,3.0,57.7,146859,8808,january
638,m,9.4,57.1,147730,9511,january
639,m,9.2,44.4,111964,8094,january
640,unknown,9.2,59.0,112159,9976,january
641,m,11.0,28.0,87179,10844,january
642,m,8.4,37.7,111500,7318,january
643,m,16.0,30.1,2359386,5806,january
644,m,5.4,54.4,59633,6266,january
645,m,2.3,46.7,5105690,10653,january
646,m,10.2,29.8,2596885,9577,january
647,f,11.7,57.5,143083,16004,january
648,m,4.4,43.4,81294,8099,january
649,f,6.4,35.3,691532,11634,january
650,m,12.5,37.3,1976945,11156,january
651,m,8.3,33.5,4986777,8658,january
652,unknown,1.1,37.6,1513418,10473,january
653,m,13.8,52.1,1137364,15774,january
654,m,9.7,50.0,108751,9029,january
655,m,7.7,45.8,1529878,6582,january
656,m,17.8,50.8,10385515,9749,january
657,m,10.4,47.5,57597,8332,january
658,m,11.6,41.0,4221892,9073,january
659,m,14.7,59.7,134134,8538,january
660,m,321.0,51.0,187743,9727,january
661,m,1.7,51.6,660557,4815,january
662,m,6.8,45.3,113574,8708,january
663,m,12.1,51.1,89441,10133,january
664,m,17.9,40.0,3106378,7931,january
665,m,215.0,120.3,1474444,11263,january
666,m,8.7,29.7,5164237,7042,january
667,unknown,1.7,47.7,100168,9504,january
668,m,14.9,25.268503225143835,124890,8676,january
669,m,13.9,47.0,136264,14849,january
670,m,8.3,30.4,5064754,10594,january
671,m,16.8,55.8,3018823,9024,january
672,m,13.5,47.6,2404895,9111,january
673,m,5.2,43.4,3320897,10051,january
674,m,16.6,55.5,84415,10376,january
675,m,10.5,50.6,3099640,15269,january
676,m,17.0,38.1,8805403,9440,january
677,m,14.4,53.2,2033208,11086,january
